Gretel LEHMANN(F:Tod LEHMANN,M:Lasandra MAST)
Liz BASALDUA(F:Marlin BASALDUA,M:Henry BETTIN)
Chieko NISKANEN(F:Monty NISKANEN,M:Elois BRUNKEN)
Monty NISKANEN(F:Tracey NISKANEN,M:Jayme SEAGREN)
Tracey NISKANEN(F:Ward NISKANEN,M:Kaley ASCHENBRENER)
Ward NISKANEN(F:Olin NISKANEN,M:Mariella MARTINEK)
Olin NISKANEN(F:Elias NISKANEN,M:Jonna SCHNARRS)
Elias NISKANEN(F:Merlin NISKANEN,M:Jeanetta PERRODIN)
Merlin NISKANEN(F:Julio NISKANEN,M:Jodee SOULA)
Julio NISKANEN(F:Kelley NISKANEN,M:Rochel WHISPELL)
Jodee SOULA(F:Basil SOULA,M:Maragret MCCLEAN)
Jeanetta PERRODIN(F:Manuel PERRODIN,M:Latina YACKEL)
Manuel PERRODIN(F:Gregg PERRODIN,M:Sandi ROSSELLE)
Latina YACKEL(F:Manual YACKEL,M:David LIPE)
Jonna SCHNARRS(F:Eldon SCHNARRS,M:Maira NIEMAN)
Eldon SCHNARRS(F:Glenn SCHNARRS,M:Clora REFSAL)
Glenn SCHNARRS(F:Foster SCHNARRS,M:Rozanne SAKS)
Clora REFSAL(F:Sterling REFSAL,M:Tomeka HAMPEL)
Maira NIEMAN(F:Shayne NIEMAN,M:Mitsuko LEHNING)
Shayne NIEMAN(F:Porter NIEMAN,M:Roslyn CHINNIS)
Mitsuko LEHNING(F:Darren LEHNING,M:Ronnie ANKENMAN)
Mariella MARTINEK(F:Cameron MARTINEK,M:Tama CHEVEZ)
Cameron MARTINEK(F:Guadalupe MARTINEK,M:Tamera POLIVKA)
Guadalupe MARTINEK(F:Jessie MARTINEK,M:Benita VENDITTI)
Jessie MARTINEK(F:Randall MARTINEK,M:Angelina GOLLMAN)
Benita VENDITTI(F:Aldo VENDITTI,M:Lavonia WALVOORD)
Tamera POLIVKA(F:Curtis POLIVKA,M:Latrisha VERHAGUE)
Curtis POLIVKA(F:Royce POLIVKA,M:Piper HEARST)
Latrisha VERHAGUE(F:Thad VERHAGUE,M:Carroll ORMAN)
Tama CHEVEZ(F:Louis CHEVEZ,M:Sanjuanita MANN)
Kaley ASCHENBRENER(F:Jere ASCHENBRENER,M:Jazmin MENCHEN)
Jayme SEAGREN(F:Francis SEAGREN,M:Jin GAULT)
Francis SEAGREN(F:Ernie SEAGREN,M:Melita BATIZ)
Ernie SEAGREN(F:Aaron SEAGREN,M:Jeannine AHMAD)
Aaron SEAGREN(F:Roderick SEAGREN,M:Irina MARATRE)
Roderick SEAGREN(F:Gilberto SEAGREN,M:Svetlana COTTENGIM)
Gilberto SEAGREN(F:Rene SEAGREN,M:Agustina INHULSEN)
Svetlana COTTENGIM(F:Leon COTTENGIM,M:Shantae KOTECKI)
Irina MARATRE(F:Lucas MARATRE,M:Vannesa RUHNKE)
Lucas MARATRE(F:Jonah MARATRE,M:Stephania BURBINE)
Vannesa RUHNKE(F:Anthony RUHNKE,M:Belinda SILMON)
Jeannine AHMAD(F:Kevin AHMAD,M:Elise CUCINELLA)
Kevin AHMAD(F:Clair AHMAD,M:Roxann KURK)
Clair AHMAD(F:James AHMAD,M:Tien SWEM)
Roxann KURK(F:Arlie KURK,M:Maxie COPASS)
Elise CUCINELLA(F:Jacinto CUCINELLA,M:Marnie SOKOTOWSKI)
Jacinto CUCINELLA(F:Corey CUCINELLA,M:Carley WEISBERG)
Marnie SOKOTOWSKI(F:Herman SOKOTOWSKI,M:Stephanie NORDMANN)
Melita BATIZ(F:Norman BATIZ,M:Kaylene QUIVERS)
Norman BATIZ(F:Trey BATIZ,M:Gema LUITJENS)
Trey BATIZ(F:Jerome BATIZ,M:Keith DOWSE)
Gema LUITJENS(F:Darin LUITJENS,M:Marx ADELMANN)
Kaylene QUIVERS(F:Hershel QUIVERS,M:Amber PURVIS)
Hershel QUIVERS(F:Kory QUIVERS,M:Setsuko PERCHINSKI)
Kory QUIVERS(F:Gus QUIVERS,M:Velvet PALKA)
Setsuko PERCHINSKI(F:Russ PERCHINSKI,M:Jamie DEDEAUX)
Amber PURVIS(F:Refugio PURVIS,M:Vallie SANNELLA)
Refugio PURVIS(F:Tracey PURVIS,M:Lakenya PRADHAN)
Vallie SANNELLA(F:Maxwell SANNELLA,M:Stephany SCHLEUDER)
Jin GAULT(F:Mauro GAULT,M:Zaida ANZURES)
Mauro GAULT(F:Allen GAULT,M:Lashell HALSETH)
Allen GAULT(F:Royal GAULT,M:Sheba TIMI)
Royal GAULT(F:Wilfredo GAULT,M:Maurine PROENZA)
Wilfredo GAULT(F:Kris GAULT,M:Brittny PHOMMATHETH)
Maurine PROENZA(F:August PROENZA,M:Sally FREDRICK)
Sheba TIMI(F:Manual TIMI,M:Teresita GUREVICH)
Manual TIMI(F:Duane TIMI,M:Lauryn STORTI)
Teresita GUREVICH(F:Lino GUREVICH,M:Carolee JANSZEN)
Lashell HALSETH(F:Sydney HALSETH,M:Olga GODARD)
Zaida ANZURES(F:Antoine ANZURES,M:Mariko EBEL)
Antoine ANZURES(F:Everett ANZURES,M:Loida PARENT)
Everett ANZURES(F:Von ANZURES,M:Glennie BRAUNSTEIN)
Von ANZURES(F:Waylon ANZURES,M:Juanita KINNUNEN)
Glennie BRAUNSTEIN(F:Sanford BRAUNSTEIN,M:Chanda DORNBROOK)
Loida PARENT(F:Stacey PARENT,M:Bambi GALOW)
Stacey PARENT(F:Stevie PARENT,M:Millicent REZA)
Bambi GALOW(F:Edward GALOW,M:Vannesa MENAKER)
Mariko EBEL(F:Ed EBEL,M:Juliette BARRACO)
Ed EBEL(F:Benito EBEL,M:Valentina SEIFARTH)
Benito EBEL(F:Hubert EBEL,M:Lilian LATOS)
Valentina SEIFARTH(F:John SEIFARTH,M:Shelby COSLAN)
Juliette BARRACO(F:Clay BARRACO,M:Katherina HODDE)
Clay BARRACO(F:Pete BARRACO,M:Lola WADLEY)
Katherina HODDE(F:Carol HODDE,M:Jasmin LASSETER)
Elois BRUNKEN(F:Glenn BRUNKEN,M:Meryl HODNEFIELD)
Glenn BRUNKEN(F:Luis BRUNKEN,M:Glory MARKEN)
Luis BRUNKEN(F:Jarrett BRUNKEN,M:Leila MEDIOUS)
Jarrett BRUNKEN(F:Quentin BRUNKEN,M:Vickey DONNER)
Quentin BRUNKEN(F:Bennie BRUNKEN,M:Mafalda CHESLER)
Bennie BRUNKEN(F:Dino BRUNKEN,M:Angela STARNAUD)
Dino BRUNKEN(F:Jamar BRUNKEN,M:Leonia GRBOYAN)
Angela STARNAUD(F:Ulysses STARNAUD,M:Maya OCEGUERA)
Mafalda CHESLER(F:Barrett CHESLER,M:Tennille DESTEPHEN)
Barrett CHESLER(F:Rashad CHESLER,M:Kyla CHAPEK)
Tennille DESTEPHEN(F:Dennis DESTEPHEN,M:Polly DELATTE)
Vickey DONNER(F:Marquis DONNER,M:Jacinta GATTA)
Marquis DONNER(F:Clifford DONNER,M:Laticia TEVEBAUGH)
Clifford DONNER(F:Blair DONNER,M:Gena SAYLORS)
Laticia TEVEBAUGH(F:Dee TEVEBAUGH,M:Elene MARKIEWICZ)
Jacinta GATTA(F:Dante GATTA,M:Shella CADAVIECO)
Leila MEDIOUS(F:Barton MEDIOUS,M:Ayana BARB)
Barton MEDIOUS(F:Donny MEDIOUS,M:Leticia FEATHERSTONE)
Donny MEDIOUS(F:Julian MEDIOUS,M:Fern STRIETER)
Julian MEDIOUS(F:Gerardo MEDIOUS,M:Cheree WESTON)
Fern STRIETER(F:Warner STRIETER,M:Marica SELLBERG)
Leticia FEATHERSTONE(F:Austin FEATHERSTONE,M:Malena CHRISCO)
Austin FEATHERSTONE(F:Derek FEATHERSTONE,M:Tawny GONZELES)
Malena CHRISCO(F:Dustin CHRISCO,M:Li SHOAFF)
Ayana BARB(F:Ben BARB,M:Danuta DELAHAY)
Ben BARB(F:Johnson BARB,M:Dede GEHRON)
Johnson BARB(F:Forest BARB,M:Allen PURI)
Dede GEHRON(F:Shelby GEHRON,M:Tammy TOPLIFFE)
Danuta DELAHAY(F:Wilber DELAHAY,M:Sachiko BUTCHER)
Wilber DELAHAY(F:Mervin DELAHAY,M:Rebbeca GUZEWICZ)
Sachiko BUTCHER(F:Issac BUTCHER,M:Tracee FISCHLER)
Glory MARKEN(F:Deangelo MARKEN,M:Kristan CALLAS)
Deangelo MARKEN(F:Barton MARKEN,M:Camie FOXWORTHY)
Barton MARKEN(F:Thanh MARKEN,M:Brynn INDEST)
Camie FOXWORTHY(F:Graig FOXWORTHY,M:Candace CAPPONI)
Graig FOXWORTHY(F:Noe FOXWORTHY,M:Zandra SADUSKY)
Noe FOXWORTHY(F:Tad FOXWORTHY,M:Devin KRINOV)
Zandra SADUSKY(F:Homer SADUSKY,M:Hertha SLAPPY)
Candace CAPPONI(F:Don CAPPONI,M:Marcie ERICKSON)
Don CAPPONI(F:Lucius CAPPONI,M:Rachele TRAPALIS)
Marcie ERICKSON(F:Neville ERICKSON,M:Isabell FENCEROY)
Kristan CALLAS(F:Ernest CALLAS,M:Consuela BUDNIK)
Ernest CALLAS(F:Damion CALLAS,M:Norah BALESTRIERI)
Damion CALLAS(F:Blaine CALLAS,M:Gary BARTUCCI)
Blaine CALLAS(F:Pierre CALLAS,M:Galina DETAMBLE)
Gary BARTUCCI(F:Osvaldo BARTUCCI,M:Isidra BYWATERS)
Norah BALESTRIERI(F:Myron BALESTRIERI,M:Guillermina STRASSELL)
Consuela BUDNIK(F:Ty BUDNIK,M:Helaine VAULET)
Ty BUDNIK(F:Duncan BUDNIK,M:Jolie MUNDHENK)
Duncan BUDNIK(F:Kennith BUDNIK,M:Lynsey YOUNGS)
Jolie MUNDHENK(F:Morgan MUNDHENK,M:Karey PETRAK)
Helaine VAULET(F:Numbers VAULET,M:Rosana SIDOR)
Numbers VAULET(F:Erwin VAULET,M:Loma MURI)
Rosana SIDOR(F:Mario SIDOR,M:Laquita CHERCHIO)
Meryl HODNEFIELD(F:Wilford HODNEFIELD,M:Christia LIEHR)
Wilford HODNEFIELD(F:Laurence HODNEFIELD,M:Arie KERNODLE)
Laurence HODNEFIELD(F:Marcus HODNEFIELD,M:Nelda ROGNESS)
Marcus HODNEFIELD(F:Dorsey HODNEFIELD,M:Marget HORBERT)
Nelda ROGNESS(F:Jeffery ROGNESS,M:Karol TORRION)
Jeffery ROGNESS(F:Ramiro ROGNESS,M:Eufemia ALLMOND)
Ramiro ROGNESS(F:Antony ROGNESS,M:Jazmine THIELE)
Eufemia ALLMOND(F:Genaro ALLMOND,M:Yan SALLY)
Karol TORRION(F:Mohamed TORRION,M:Enriqueta BAFIA)
Mohamed TORRION(F:Gaston TORRION,M:Alyson INOSTRAZA)
Enriqueta BAFIA(F:Scottie BAFIA,M:Addie CAROLINA)
Arie KERNODLE(F:Grover KERNODLE,M:Tamera HABEL)
Grover KERNODLE(F:Darwin KERNODLE,M:Nickie TOMBLINSON)
Darwin KERNODLE(F:Ezekiel KERNODLE,M:Yuk GORES)
Ezekiel KERNODLE(F:Kraig KERNODLE,M:Bernadine SORICE)
Yuk GORES(F:Jc GORES,M:Rina LOMBOY)
Nickie TOMBLINSON(F:Marcel TOMBLINSON,M:Novella SARRO)
Marcel TOMBLINSON(F:Barrett TOMBLINSON,M:Christinia KLEPACZ)
Novella SARRO(F:Mathew SARRO,M:Vannesa MOSTROM)
Tamera HABEL(F:Hal HABEL,M:Lorraine CACHU)
Christia LIEHR(F:Brady LIEHR,M:Francina DOSCH)
Brady LIEHR(F:Vance LIEHR,M:Sonia BANES)
Vance LIEHR(F:Gayle LIEHR,M:Claudia CITRIN)
Gayle LIEHR(F:Wilburn LIEHR,M:Latoyia KARNAS)
Wilburn LIEHR(F:Brian LIEHR,M:Josefina MCCANDLISS)
Latoyia KARNAS(F:Rod KARNAS,M:Dara BAZYLEWICZ)
Claudia CITRIN(F:Landon CITRIN,M:Delphia LOOPER)
Landon CITRIN(F:Clifford CITRIN,M:Clelia LANGFORD)
Delphia LOOPER(F:Garfield LOOPER,M:Jestine BREITLING)
Sonia BANES(F:Olen BANES,M:Kirby TERMAN)
Olen BANES(F:Jackie BANES,M:Julee PETILLO)
Jackie BANES(F:Adrian BANES,M:Kristen VANDERSLOOT)
Julee PETILLO(F:Jimmie PETILLO,M:Jason BAREMORE)
Kirby TERMAN(F:Boyd TERMAN,M:Shelley CIESLUK)
Boyd TERMAN(F:Riley TERMAN,M:Jeanette HOPPER)
Shelley CIESLUK(F:Heath CIESLUK,M:Elisa LAEHN)
Francina DOSCH(F:Frances DOSCH,M:Aimee VANDAM)
Jane CROYLE(F:Carrol CROYLE,M:Velvet MCKELLAN)
Carrol CROYLE(F:Courtney CROYLE,M:Noreen GULLACE)
Courtney CROYLE(F:Joaquin CROYLE,M:Lilla BARTKUS)
Joaquin CROYLE(F:Phil CROYLE,M:Valery GAULIN)
Phil CROYLE(F:Paul CROYLE,M:Randi RODRIQUES)
Paul CROYLE(F:Felton CROYLE,M:Ashleigh HUSAK)
Felton CROYLE(F:Gus CROYLE,M:Shawna BUTKUS)
Gus CROYLE(F:Dominic CROYLE,M:Tisa VAILLANCOURT)
Dominic CROYLE(F:Luigi CROYLE,M:Gayla QUILIMACO)
Tisa VAILLANCOURT(F:Oliver VAILLANCOURT,M:Libby MOZAK)
Shawna BUTKUS(F:Randal BUTKUS,M:Tiffani ARONICA)
Randal BUTKUS(F:Devin BUTKUS,M:Zada SEJKORA)
Tiffani ARONICA(F:Jacinto ARONICA,M:Linette TUSSEY)
Ashleigh HUSAK(F:Darron HUSAK,M:Sanda LAFONTANT)
Darron HUSAK(F:Joshua HUSAK,M:Maribeth CUSHMAN)
Sanda LAFONTANT(F:Isiah LAFONTANT,M:Jonnie ROCKER)
Isiah LAFONTANT(F:Marc LAFONTANT,M:Tiffani ULBRICH)
Jonnie ROCKER(F:Alonzo ROCKER,M:Roseanne RAHIM)
Randi RODRIQUES(F:Rodney RODRIQUES,M:Millie MASCIANTONIO)
Rodney RODRIQUES(F:Collin RODRIQUES,M:Phoebe GOLISH)
Collin RODRIQUES(F:Donnell RODRIQUES,M:Dana POPI)
Donnell RODRIQUES(F:Francisco RODRIQUES,M:Adriane LINDAMOOD)
Dana POPI(F:Santiago POPI,M:Jeffrey BURROLA)
Phoebe GOLISH(F:Isaias GOLISH,M:Billy RESEK)
Millie MASCIANTONIO(F:Gene MASCIANTONIO,M:Lyla FINEOUT)
Gene MASCIANTONIO(F:Earl MASCIANTONIO,M:Vasiliki COSBY)
Earl MASCIANTONIO(F:Alfredo MASCIANTONIO,M:Mallory FEYLER)
Vasiliki COSBY(F:Hugh COSBY,M:Denna BARRE)
Lyla FINEOUT(F:Abe FINEOUT,M:Claretta SUL)
Abe FINEOUT(F:Stanley FINEOUT,M:Lucienne MCGOOGAN)
Claretta SUL(F:Yong SUL,M:Vasiliki AMBERS)
Valery GAULIN(F:Lamar GAULIN,M:Meghann ALEXIOU)
Lamar GAULIN(F:Tanner GAULIN,M:Latashia COFFELL)
Tanner GAULIN(F:Dalton GAULIN,M:Tamesha LOPE)
Dalton GAULIN(F:Orlando GAULIN,M:Kyong BLEAKLEY)
Orlando GAULIN(F:Wayne GAULIN,M:Parthenia SARP)
Kyong BLEAKLEY(F:Dexter BLEAKLEY,M:Jone TWIST)
Tamesha LOPE(F:Roy LOPE,M:Audie FREDETTE)
Roy LOPE(F:Henry LOPE,M:Audria ZELTNER)
Audie FREDETTE(F:Daryl FREDETTE,M:Maryrose HORESCO)
Latashia COFFELL(F:Sang COFFELL,M:Stephine BREDA)
Sang COFFELL(F:Bertram COFFELL,M:Rubye MEDLER)
Bertram COFFELL(F:Fausto COFFELL,M:Alissa SALIMI)
Rubye MEDLER(F:Lon MEDLER,M:Collette BOURGON)
Stephine BREDA(F:Son BREDA,M:Victor ESQUILIN)
Son BREDA(F:Malcolm BREDA,M:Lanora BRESETTE)
Victor ESQUILIN(F:Darrell ESQUILIN,M:Li HENDERICKSON)
Meghann ALEXIOU(F:Norberto ALEXIOU,M:Lauryn PUFFINBURGER)
Norberto ALEXIOU(F:Randall ALEXIOU,M:Molly SWARR)
Randall ALEXIOU(F:Stanton ALEXIOU,M:Camellia MICHELLI)
Stanton ALEXIOU(F:Max ALEXIOU,M:Bettie BAUMGART)
Camellia MICHELLI(F:Elvis MICHELLI,M:Martha GITTENS)
Molly SWARR(F:Prince SWARR,M:Cicely LAFARGE)
Prince SWARR(F:Odell SWARR,M:Tonisha WIATR)
Cicely LAFARGE(F:Johnathon LAFARGE,M:Eustolia RAINBOTT)
Lauryn PUFFINBURGER(F:Bryce PUFFINBURGER,M:Telma LOSO)
Bryce PUFFINBURGER(F:Everette PUFFINBURGER,M:Kristal LAREW)
Everette PUFFINBURGER(F:Burl PUFFINBURGER,M:Margery BOUCK)
Kristal LAREW(F:Nathaniel LAREW,M:Cristie FALB)
Telma LOSO(F:Pete LOSO,M:Sixta FITHEN)
Pete LOSO(F:Marcelo LOSO,M:Ria WISH)
Sixta FITHEN(F:Lucas FITHEN,M:Lida TUPPER)
Lilla BARTKUS(F:Devon BARTKUS,M:Lisa COTTER)
Devon BARTKUS(F:Vince BARTKUS,M:Joelle LITMAN)
Vince BARTKUS(F:Virgilio BARTKUS,M:Dorinda FREUDIGER)
Joelle LITMAN(F:Alfonzo LITMAN,M:Cathleen WAGONER)
Alfonzo LITMAN(F:Oswaldo LITMAN,M:Magnolia DZLEDZIC)
Oswaldo LITMAN(F:Spencer LITMAN,M:Hisako RISSE)
Spencer LITMAN(F:Clint LITMAN,M:Tandy MERAS)
Hisako RISSE(F:Sandy RISSE,M:Jeni JESSEE)
Magnolia DZLEDZIC(F:Denver DZLEDZIC,M:Myesha NISTLER)
Denver DZLEDZIC(F:Dexter DZLEDZIC,M:Taina MITKOWSKI)
Myesha NISTLER(F:Tuan NISTLER,M:Willodean PARMAR)
Cathleen WAGONER(F:Jamey WAGONER,M:Sanda STADTMILLER)
Jamey WAGONER(F:Cyrus WAGONER,M:Megan MEATH)
Sanda STADTMILLER(F:Brady STADTMILLER,M:Mandi SCHLABAUGH)
Brady STADTMILLER(F:Rod STADTMILLER,M:Dacia CONKRITE)
Mandi SCHLABAUGH(F:Carl SCHLABAUGH,M:Dolores WINGER)
Lisa COTTER(F:Lyndon COTTER,M:Hana FOXX)
Lyndon COTTER(F:Randy COTTER,M:Tonita LASTINGER)
Randy COTTER(F:Darnell COTTER,M:Gwenda DRONKO)
Darnell COTTER(F:Marc COTTER,M:Lindsy BARRETTE)
Gwenda DRONKO(F:Buford DRONKO,M:Danette WAEGNER)
Buford DRONKO(F:Lionel DRONKO,M:Melba BONAMICO)
Danette WAEGNER(F:Jarvis WAEGNER,M:Beulah ARMENTEROS)
Tonita LASTINGER(F:Mervin LASTINGER,M:Dorene LILLA)
Mervin LASTINGER(F:Elwood LASTINGER,M:Elinore BATCHELDER)
Dorene LILLA(F:Randall LILLA,M:Mao LAMBKA)
Randall LILLA(F:Willy LILLA,M:Alda HIRSBRUNNER)
Mao LAMBKA(F:Monroe LAMBKA,M:Tasia KNACKSTEDT)
Hana FOXX(F:Scot FOXX,M:Beverly CUMPSTON)
Scot FOXX(F:Pat FOXX,M:Elmira NAVONE)
Pat FOXX(F:Hans FOXX,M:Carl PALCZEWSKI)
Hans FOXX(F:Adolph FOXX,M:Nidia KLAUS)
Carl PALCZEWSKI(F:Bruce PALCZEWSKI,M:Vada KAUDER)
Elmira NAVONE(F:Francesco NAVONE,M:Svetlana LANGE)
Francesco NAVONE(F:Edmund NAVONE,M:Lashawnda EELKEMA)
Svetlana LANGE(F:Billie LANGE,M:Randy DETTEN)
Beverly CUMPSTON(F:Eusebio CUMPSTON,M:Dominica HACH)
Eusebio CUMPSTON(F:Ned CUMPSTON,M:Avery FANNELL)
Ned CUMPSTON(F:Billie CUMPSTON,M:Dorris KEENAN)
Avery FANNELL(F:Zachariah FANNELL,M:Sherril CHATLOS)
Dominica HACH(F:Wilbert HACH,M:Sang MONTFORT)
Wilbert HACH(F:Ernesto HACH,M:America DEGONIA)
Sang MONTFORT(F:Filiberto MONTFORT,M:Arlene KANGLEON)
Noreen GULLACE(F:Xavier GULLACE,M:Libby CASON)
Xavier GULLACE(F:Wm GULLACE,M:Arleen SOPPE)
Wm GULLACE(F:Nathanial GULLACE,M:Porsha HODEK)
Arleen SOPPE(F:Winston SOPPE,M:Soon BOADWAY)
Winston SOPPE(F:Hung SOPPE,M:An PAN)
Soon BOADWAY(F:Guillermo BOADWAY,M:Hallie ELIASEN)
Guillermo BOADWAY(F:Jamison BOADWAY,M:Johnie PAGNOZZI)
Jamison BOADWAY(F:Cecil BOADWAY,M:Kate LISANTI)
Cecil BOADWAY(F:Gino BOADWAY,M:Christiane LAPA)
Kate LISANTI(F:Leopoldo LISANTI,M:Helena MERYMAN)
Johnie PAGNOZZI(F:Wallace PAGNOZZI,M:Gilberte BEAUHARNOIS)
Wallace PAGNOZZI(F:Valentin PAGNOZZI,M:Denae GRANATO)
Gilberte BEAUHARNOIS(F:Aurelio BEAUHARNOIS,M:Darcy YSLAS)
